offset,topic,payload
0s,BMS/v1/PUB/Metadata/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E1/info/activePower/value,"{""objectType"":""PowerMeter"",""pointType"":""ActivePower"",""engUnit"":""kW"",""objectName"":""C-E-BUS-E1"",""objectId"":""C-E-BUS-E1"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
3.4731ms,BMS/v1/PUB/Metadata/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""objectType"":""PowerMeter"",""pointType"":""ApparentPower"",""engUnit"":""kVA"",""objectName"":""C-E-BUS-E1"",""objectId"":""C-E-BUS-E1"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
7.5309ms,BMS/v1/PUB/Metadata/PowerMeter/CurrentLimit/nvidia/titan/pod1C/C-E-BUS-E1/info/capacity/rValue,"{""objectType"":""PowerMeter"",""pointType"":""CurrentLimit"",""engUnit"":""A"",""objectName"":""C-E-BUS-E1"",""objectId"":""C-E-BUS-E1"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
9.9181ms,BMS/v1/PUB/Metadata/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E1/info/current/current/value,"{""objectType"":""PowerMeter"",""pointType"":""Current"",""engUnit"":""A"",""objectName"":""C-E-BUS-E1"",""objectId"":""C-E-BUS-E1"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
13.4539ms,BMS/v1/PUB/Metadata/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase1/value,"{""engUnit"":""A"",""objectId"":""C-E-BUS-E1"",""objectName"":""C-E-BUS-E1"",""objectType"":""PowerMeter"",""phase"":""A"",""pointType"":""PhaseCurrent"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
17.0259ms,BMS/v1/PUB/Metadata/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase2/value,"{""engUnit"":""A"",""objectId"":""C-E-BUS-E1"",""objectName"":""C-E-BUS-E1"",""objectType"":""PowerMeter"",""phase"":""B"",""pointType"":""PhaseCurrent"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
20.8101ms,BMS/v1/PUB/Metadata/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase3/value,"{""engUnit"":""A"",""objectId"":""C-E-BUS-E1"",""objectName"":""C-E-BUS-E1"",""objectType"":""PowerMeter"",""phase"":""C"",""pointType"":""PhaseCurrent"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
22.9831ms,BMS/v1/PUB/Metadata/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E1/info/current/maxCurrent/value,"{""objectType"":""PowerMeter"",""pointType"":""Current"",""engUnit"":""A"",""objectName"":""C-E-BUS-E1"",""objectId"":""C-E-BUS-E1"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
26.8841ms,BMS/v1/PUB/Metadata/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E1/info/frequency/value,"{""objectType"":""PowerMeter"",""pointType"":""Frequency"",""engUnit"":""Hz"",""objectName"":""C-E-BUS-E1"",""objectId"":""C-E-BUS-E1"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
28.9391ms,BMS/v1/PUB/Metadata/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E1/info/voltage/voltage/value,"{""objectType"":""PowerMeter"",""pointType"":""Voltage"",""engUnit"":""V"",""objectName"":""C-E-BUS-E1"",""objectId"":""C-E-BUS-E1"",""servesId"":[""C-E01-TAP-E1"",""C-E02-TAP-E1"",""C-E03-TAP-E1"",""C-E04-TAP-E1"",""C-E05-TAP-E1"",""C-E06-TAP-E1""]}"
32.7681ms,BMS/v1/PUB/Metadata/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""objectType"":""PowerMeter"",""pointType"":""ActivePower"",""engUnit"":""kW"",""objectName"":""C-E-BUS-E2"",""objectId"":""C-E-BUS-E2"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
37.2042ms,BMS/v1/PUB/Metadata/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""objectType"":""PowerMeter"",""pointType"":""ApparentPower"",""engUnit"":""kVA"",""objectName"":""C-E-BUS-E2"",""objectId"":""C-E-BUS-E2"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
39.6981ms,BMS/v1/PUB/Metadata/PowerMeter/CurrentLimit/nvidia/titan/pod1C/C-E-BUS-E2/info/capacity/rValue,"{""objectType"":""PowerMeter"",""pointType"":""CurrentLimit"",""engUnit"":""A"",""objectName"":""C-E-BUS-E2"",""objectId"":""C-E-BUS-E2"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
43.4401ms,BMS/v1/PUB/Metadata/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E2/info/current/current/value,"{""objectType"":""PowerMeter"",""pointType"":""Current"",""engUnit"":""A"",""objectName"":""C-E-BUS-E2"",""objectId"":""C-E-BUS-E2"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
47.2631ms,BMS/v1/PUB/Metadata/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase1/value,"{""engUnit"":""A"",""objectId"":""C-E-BUS-E2"",""objectName"":""C-E-BUS-E2"",""objectType"":""PowerMeter"",""phase"":""A"",""pointType"":""PhaseCurrent"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
50.1741ms,BMS/v1/PUB/Metadata/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase2/value,"{""engUnit"":""A"",""objectId"":""C-E-BUS-E2"",""objectName"":""C-E-BUS-E2"",""objectType"":""PowerMeter"",""phase"":""B"",""pointType"":""PhaseCurrent"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
53.4091ms,BMS/v1/PUB/Metadata/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase3/value,"{""engUnit"":""A"",""objectId"":""C-E-BUS-E2"",""objectName"":""C-E-BUS-E2"",""objectType"":""PowerMeter"",""phase"":""C"",""pointType"":""PhaseCurrent"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
56.9641ms,BMS/v1/PUB/Metadata/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E2/info/current/maxCurrent/value,"{""objectType"":""PowerMeter"",""pointType"":""Current"",""engUnit"":""A"",""objectName"":""C-E-BUS-E2"",""objectId"":""C-E-BUS-E2"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
60.7941ms,BMS/v1/PUB/Metadata/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E2/info/frequency/value,"{""objectType"":""PowerMeter"",""pointType"":""Frequency"",""engUnit"":""Hz"",""objectName"":""C-E-BUS-E2"",""objectId"":""C-E-BUS-E2"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
63.3793ms,BMS/v1/PUB/Metadata/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""objectType"":""PowerMeter"",""pointType"":""Voltage"",""engUnit"":""V"",""objectName"":""C-E-BUS-E2"",""objectId"":""C-E-BUS-E2"",""servesId"":[""C-E01-TAP-E2"",""C-E02-TAP-E2"",""C-E03-TAP-E2"",""C-E04-TAP-E2"",""C-E05-TAP-E2"",""C-E06-TAP-E2""]}"
67.1821ms,BMS/v1/PUB/Metadata/CDU/Available/nvidia/titan/pod1C/C-F00-CDU-05/availability/rValue,"{""objectType"":""CDU"",""pointType"":""Available"",""stateText"":[{""value"":0,""text"":""NotAvailable""},{""value"":1,""text"":""Available""}],""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""]}"
69.3891ms,BMS/v1/PUB/Metadata/CDU/Status/nvidia/titan/pod1C/C-F00-CDU-05/cduStatus/rValue,"{""objectType"":""CDU"",""pointType"":""Status"",""stateText"":[{""value"":0,""text"":""Off""},{""value"":1,""text"":""On""}],""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""]}"
